Run,RT,Male,Female,None,Pct
522,23,18,2,3,0.9000
523,28,13,8,7,0.6190
524,24,15,4,5,0.7895
525,27,12,10,5,0.5455
526,28,16,7,5,0.6957
527,24,12,8,4,0.6000
528,17,9,3,5,0.7500
529,33,20,7,6,0.7407
530,28,19,5,4,0.7917
531,25,15,7,3,0.6818
532,30,16,10,4,0.6154
533,28,19,7,2,0.7308
534,17,5,6,6,0.4545
535,23,12,5,6,0.7059
536,29,20,5,4,0.8000
537,33,20,6,7,0.7692
538,26,21,1,4,0.9545
539,18,12,5,1,0.7059
540,26,18,4,4,0.8182
541,24,12,4,8,0.7500
542,25,11,7,7,0.6111
543,26,10,8,8,0.5556
544,29,18,9,2,0.6667
545,18,9,7,2,0.5625
546,28,16,7,5,0.6957
547,26,16,3,7,0.8421
548,25,13,9,3,0.5909
549,27,19,5,3,0.7917
550,19,10,3,6,0.7692
551,22,7,9,6,0.4375
552,22,13,3,6,0.8125
553,24,12,5,7,0.7059
554,18,12,6,0,0.6667
555,21,13,5,3,0.7222
556,27,16,8,3,0.6667
557,14,8,2,4,0.8000
558,21,16,5,0,0.7619
559,28,17,4,7,0.8095
560,25,15,7,3,0.6818
561,17,9,5,3,0.6429
562,22,12,6,4,0.6667
563,20,13,5,2,0.7222
564,26,12,6,8,0.6667
565,21,11,6,4,0.6471
566,29,21,5,3,0.8077
567,30,16,7,7,0.6957
568,31,15,10,6,0.6000
569,21,15,4,2,0.7895
570,22,7,8,7,0.4667
571,20,14,3,3,0.8235
572,32,21,7,4,0.7500
573,23,11,5,7,0.6875
574,30,17,8,5,0.6800
575,21,16,3,2,0.8421
576,21,15,2,4,0.8824
577,25,14,7,4,0.6667
578,33,20,11,2,0.6452
579,21,14,5,2,0.7368
580,25,18,2,5,0.9000
581,28,16,7,5,0.6957
582,18,8,7,3,0.5333
583,25,11,9,5,0.5500
584,17,8,6,3,0.5714
585,22,18,3,1,0.8571
586,22,14,4,4,0.7778
587,19,7,7,5,0.5000
588,28,16,6,6,0.7273
589,23,11,6,6,0.6471
590,27,13,8,6,0.6190
591,16,7,5,4,0.5833
592,26,13,7,6,0.6500
593,33,22,4,7,0.8462
594,24,16,6,2,0.7273
595,26,17,4,5,0.8095
596,17,14,2,1,0.8750
597,20,13,3,4,0.8125
598,23,15,5,3,0.7500
599,24,14,6,4,0.7000
600,24,16,3,5,0.8421
601,19,16,2,1,0.8889
602,22,14,3,5,0.8235
603,26,17,5,4,0.7727
604,21,7,8,6,0.4667
605,32,19,5,8,0.7917
606,36,18,10,8,0.6429
607,28,18,7,3,0.7200
608,33,22,7,4,0.7586
609,24,13,5,6,0.7222
610,25,17,3,5,0.8500
611,26,18,4,4,0.8182
612,33,17,9,7,0.6538
613,20,12,4,4,0.7500
614,23,15,5,3,0.7500
615,24,13,6,5,0.6842
616,21,14,5,2,0.7368
617,23,13,6,4,0.6842
618,26,14,7,5,0.6667
619,25,17,5,3,0.7727
620,21,9,7,5,0.5625
621,18,11,5,2,0.6875
622,21,11,5,5,0.6875
623,33,23,6,4,0.7931
624,34,17,7,10,0.7083
625,23,14,6,3,0.7000
626,18,11,3,4,0.7857
627,22,15,4,3,0.7895
628,30,18,8,4,0.6923
629,30,16,9,5,0.6400
630,26,14,10,2,0.5833
631,24,16,5,3,0.7619
632,28,18,5,5,0.7826
633,27,16,8,3,0.6667
634,25,18,2,5,0.9000
635,24,16,4,4,0.8000
636,19,11,5,3,0.6875
637,22,15,3,4,0.8333
638,26,13,6,7,0.6842
639,28,17,8,3,0.6800
640,19,11,5,3,0.6875
641,32,18,8,6,0.6923
