Num,RT,Male,Female,None,Pct
35500,9411,5261,2657,1493,0.6644
35600,9435,5276,2660,1499,0.6648
35700,9475,5298,2670,1507,0.6649
35800,9502,5316,2676,1510,0.6652
35900,9527,5331,2684,1512,0.6651
36000,9561,5350,2690,1521,0.6654
36100,9587,5361,2701,1525,0.6650
36200,9617,5381,2708,1528,0.6652
36300,9653,5407,2712,1534,0.6660
36400,9681,5422,2717,1542,0.6662
36500,9723,5451,2723,1549,0.6669
36600,9752,5478,2724,1550,0.6679
36700,9794,5506,2734,1554,0.6682
36800,9837,5529,2750,1558,0.6678
36900,9863,5540,2760,1563,0.6675
37000,9892,5558,2765,1569,0.6678
37100,9913,5564,2770,1579,0.6676
37200,9938,5580,2775,1583,0.6679
37300,9973,5601,2783,1589,0.6681
37400,9994,5613,2788,1593,0.6681
37500,10029,5632,2802,1595,0.6678
37600,10061,5642,2817,1602,0.6670
37700,10084,5656,2821,1607,0.6672
37800,10109,5666,2833,1610,0.6667
37900,10141,5688,2836,1617,0.6673
38000,10176,5707,2843,1626,0.6675
38100,10216,5732,2852,1632,0.6678
38200,10241,5744,2858,1639,0.6678
38300,10270,5761,2864,1645,0.6679
38400,10298,5776,2873,1649,0.6678
38500,10327,5790,2884,1653,0.6675
38600,10361,5811,2891,1659,0.6678
38700,10399,5835,2898,1666,0.6682
38800,10425,5850,2906,1669,0.6681
38900,10454,5860,2918,1676,0.6676
39000,10489,5882,2924,1683,0.6680
39100,10518,5897,2932,1689,0.6679
39200,10550,5920,2935,1695,0.6685
39300,10582,5935,2941,1706,0.6687
39400,10618,5960,2945,1713,0.6693
39500,10651,5982,2950,1719,0.6697
39600,10685,5998,2964,1723,0.6693
39700,10723,6017,2971,1735,0.6694
39800,10747,6025,2980,1742,0.6691
39900,10775,6045,2983,1747,0.6696
40000,10800,6058,2988,1754,0.6697
40100,10837,6080,2998,1759,0.6698
40200,10853,6091,3001,1761,0.6699
40300,10875,6102,3007,1766,0.6699
40400,10894,6113,3012,1769,0.6699
40500,10930,6133,3024,1773,0.6698
40600,10969,6156,3031,1782,0.6701
40700,10999,6173,3037,1789,0.6702
40800,11018,6184,3042,1792,0.6703
40900,11034,6192,3043,1799,0.6705
41000,11058,6208,3046,1804,0.6708
41100,11099,6236,3056,1807,0.6711
41200,11131,6257,3065,1809,0.6712
41300,11158,6273,3072,1813,0.6713
41400,11192,6297,3081,1814,0.6715
41500,11214,6312,3085,1817,0.6717
41600,11235,6326,3089,1820,0.6719
41700,11263,6342,3096,1825,0.6720
41800,11289,6364,3097,1828,0.6727
41900,11309,6376,3103,1830,0.6726
42000,11338,6394,3109,1835,0.6728
42100,11367,6413,3112,1842,0.6733
42200,11408,6434,3124,1850,0.6732
42300,11424,6440,3129,1855,0.6730
42400,11441,6452,3134,1855,0.6731
42500,11456,6461,3137,1858,0.6732
42600,11476,6473,3144,1859,0.6731
42700,11497,6487,3148,1862,0.6733
42800,11504,6492,3149,1863,0.6734
42900,11517,6498,3153,1866,0.6733
43000,11537,6507,3159,1871,0.6732
43100,11558,6519,3163,1876,0.6733
43200,11587,6537,3169,1881,0.6735
43300,11629,6557,3184,1888,0.6731
43400,11663,6582,3189,1892,0.6736
43500,11695,6602,3195,1898,0.6739
43600,11720,6620,3198,1902,0.6743
43700,11746,6637,3201,1908,0.6746
43800,11775,6652,3210,1913,0.6745
43900,11800,6666,3218,1916,0.6744
44000,11827,6679,3226,1922,0.6743
44100,11856,6694,3235,1927,0.6742
44200,11884,6710,3242,1932,0.6742
44300,11923,6730,3252,1941,0.6742
44400,11961,6755,3257,1949,0.6747
44500,11985,6771,3260,1954,0.6750
44600,12007,6787,3262,1958,0.6754
44700,12021,6797,3265,1959,0.6755
44800,12047,6812,3272,1963,0.6755
44900,12081,6833,3280,1968,0.6757
45000,12106,6844,3285,1977,0.6757
45100,12129,6861,3288,1980,0.6760
45200,12150,6868,3294,1988,0.6759
45300,12176,6885,3298,1993,0.6761
45400,12212,6904,3307,2001,0.6761
45500,12238,6915,3312,2011,0.6762
45600,12262,6930,3314,2018,0.6765
45700,12291,6950,3319,2022,0.6768
45800,12314,6966,3324,2024,0.6770
45900,12338,6980,3327,2031,0.6772
46000,12360,6990,3337,2033,0.6769
46100,12379,6997,3342,2040,0.6768
46200,12401,7004,3349,2048,0.6765
46300,12428,7017,3358,2053,0.6763
46400,12463,7037,3369,2057,0.6762
46500,12492,7052,3374,2066,0.6764
46600,12519,7067,3380,2072,0.6765
46700,12550,7081,3390,2079,0.6762
46800,12577,7097,3395,2085,0.6764
46900,12593,7107,3399,2087,0.6765
47000,12613,7118,3406,2089,0.6764
47100,12648,7135,3417,2096,0.6762
47200,12677,7151,3418,2108,0.6766
47300,12706,7165,3423,2118,0.6767
47400,12737,7185,3429,2123,0.6769
47500,12764,7200,3433,2131,0.6771
47600,12790,7211,3441,2138,0.6770
47700,12819,7224,3448,2147,0.6769
47800,12854,7246,3454,2154,0.6772
47900,12872,7257,3456,2159,0.6774
48000,12890,7266,3460,2164,0.6774
48100,12923,7285,3466,2172,0.6776
48200,12946,7295,3472,2179,0.6775
48300,12987,7304,3501,2182,0.6760
48400,13025,7329,3507,2189,0.6764
48500,13058,7343,3518,2197,0.6761
48600,13083,7354,3525,2204,0.6760
48700,13114,7371,3532,2211,0.6761
48800,13134,7379,3539,2216,0.6759
48900,13149,7388,3545,2216,0.6758
49000,13186,7408,3555,2223,0.6757
49100,13218,7427,3565,2226,0.6757
